rootScript, transitiveSuccessors, treeDepth, treeWidth
nncra,5,6,1
tppm,12,10,2
mmft,1,2,1
hwyo,4,3,3
evtpnfmp,2,3,1
nwsqaslj,1,2,1
vueejwgr,15,13,2
ijsqecxn,1,2,1
awec,1,2,1
idkra,2,3,1
aweg,3,4,1
ykdm,4,5,1
aweo,1,2,1
tpnh,5,6,1
awew,1,2,1
fnhf,10,10,2
ykkp,2,3,1
awgd,4,3,2
berxavwm,4,4,2
tpth,5,6,1
tptk,3,3,2
qqdrgniy,10,10,2
rdzq,1,2,1
awhb,1,2,1
rdzi,1,2,1
mmgx,1,2,1
awic,1,2,1
ijdva,6,7,1
awjb,1,2,1
mmhq,1,2,1
mmhj,1,2,1
awiz,4,5,1
mmne,1,2,1
hxbq,3,4,1
xwspnhkq,1,2,1
sexea,1,2,1
oyym,2,3,1
ahqemsbz,5,5,2
hmkswzui,2,3,1
fmxr,37,36,2
fmzj,4,5,1
dchdrvhy,33,32,2
czes,1,2,1
czet,1,2,1
ghdrb,2,3,1
hxfj,1,2,1
ykcl,3,4,1
czgr,11,9,2
fnaf,1,2,1
oyyw,8,8,2
gmchbwek,4,5,1
czij,1,2,1
kbgs,2,3,1
mmqe,38,39,1
hxdz,1,2,1
awat,3,2,3
anffpsen,3,4,1
tebpa,1,2,1
rehn,1,2,1
avrq,1,2,1
olaoetut,2,3,1
nixsfjep,1,2,1
hxkm,14,13,2
wmbyletz,8,9,1
mlsy,3,4,1
mlrx,1,2,1
eksha,4,5,1
hqorrgze,1,2,1
fmpv,3,4,1
avss,2,3,1
avvj,4,5,1
vzzl,2,2,2
mmtwa,12,13,1
bblja,1,2,1
avug,10,11,1
jzcroxmt,8,8,2
avxq,1,2,1
rejh,1,2,1
kihpbjrw,1,2,1
mlwu,1,2,1
qptzb,1,2,1
oyrs,18,15,4
jhlbgwhi,1,2,1
fmtr,1,2,1
vzwp,5,5,2
avwi,1,2,1
tgtfzuav,8,7,2
qnczrsli,1,2,1
ohyka,1,2,1
gwfkfbjn,1,2,1
fmks,37,13,5
kbwi,12,11,2
iptcklyy,3,3,2
azkueztq,15,14,2
fteva,2,3,1
vctqzygd,1,2,1
urhva,9,9,2
kbvn,7,6,2
twzba,2,3,1
kbup,7,5,3
rcplsxes,6,6,2
cytb,1,2,1
aecwa,1,2,1
xfjlakkc,2,3,1
kbtk,1,2,1
fmoi,1,2,1
hxwg,11,12,1
resl,2,3,1
cyuo,5,5,2
avmk,6,4,2
hxuu,2,3,1
avps,1,2,1
rere,2,3,1
avok,6,4,3
hxtm,1,2,1
yjox,2,3,1
fohy,3,4,1
wulha,2,3,1
nukjvfib,4,4,2
kewf,1,2,1
ywiya,1,2,1
vxdl,1,2,1
jlikttpq,1,2,1
hldla,4,5,1
wrqmdyer,3,3,2
cwabxrvp,1,2,1
cluvhypn,1,2,1
quvztuct,1,2,1
keyj,1,2,1
paaec,2,3,1
paaea,5,6,1
jlubb,1,2,1
dmgvfcbq,1,2,1
dlzya,2,3,1
adgiipuw,1,2,1
hxzk,8,9,1
hxzt,2,3,1
awuka,1,2,1
rctu,29,29,2
keub,2,3,1
azge,3,4,1
lapcemxf,1,2,1
oxxx,2,3,1
ygnlohul,1,2,1
ijcka,1,2,1
tmfc,1,2,1
oxsl,3,4,1
frzusujv,1,2,1
oxtn,15,14,2
dvazcykr,2,3,1
uvbgxgjs,3,4,1
mpsz,1,2,1
tmax,2,3,1
oxwg,2,3,1
ygwh,3,3,2
hyej,1,2,1
rdgv,1,2,1
ivruadns,6,7,1
fnxj,1,2,1
czrl,1,2,1
xpawa,1,2,1
czqd,1,2,1
vwqk,1,2,1
ygrm,3,4,1
cwkba,1,2,1
czpl,2,3,1
kfjt,1,2,1
tsqbgmsv,8,5,4
hyqh,2,3,1
vwti,4,5,1
bkwea,7,8,1
vwrt,4,5,1
cgdevhmq,8,9,1
moxy,1,2,1
hykg,1,2,1
oysea,1,2,1
ygmh,1,2,1
urima,4,5,1
tmzt,1,2,1
aywz,3,4,1
fntl,4,5,1
rdpy,1,2,1
mpgc,2,3,1
vwyr,1,2,1
tngbpajd,1,2,1
czxn,3,4,1
sxyivtem,1,2,1
uckkpcps,10,11,1
czxc,2,2,2
aysb,2,2,2
mpgh,2,3,1
czwx,1,2,1
vwvr,1,2,1
hysj,4,5,1
ayrw,1,2,1
mdeuuhwk,3,4,1
tmpb,1,2,1
mpal,4,5,1
xkmna,11,11,2
oxfc,1,2,1
ucgcvcyj,1,2,1
kdvg,5,3,2
yahea,18,19,1
eoxha,1,2,1
anztnxlb,5,5,2
aylf,3,4,1
mugezijx,1,2,1
oxbo,10,7,2
avmuxlow,2,3,1
tnmr,2,2,2
kduz,1,2,1
kduh,1,2,1
uquiernf,12,12,2
kduc,1,2,1
ftpgylpt,3,4,1
zogrxatd,1,2,1
fphe,3,4,1
plkghrjj,2,3,1
tnlk,21,13,5
fpim,2,3,1
moji,65,31,25
vyct,1,2,1
fpfz,3,4,1
kdpo,5,6,1
fpfq,1,2,1
hzkc,2,3,1
sppgkuqo,3,4,1
owvb,1,2,1
apwra,8,6,2
owuv,1,2,1
hzhz,2,2,2
dlyra,2,3,1
kdlx,2,3,1
yhzt,2,3,1
fpcr,2,3,1
kdmd,2,2,2
rbze,5,6,1
bxyndmcw,1,2,1
egkla,105,91,2
fpgepxom,1,2,1
kdjz,1,2,1
mosh,1,2,1
hzgg,2,3,1
yhxp,3,4,1
moor,2,3,1
rjyxa,1,2,1
tnar,2,3,1
hzen,4,5,1
aybi,2,3,1
kqcxa,1,2,1
rchc,11,12,1
yhts,5,6,1
hzrd,4,5,1
axym,1,2,1
axyc,4,4,2
hzrk,3,4,1
yhve,1,2,1
hzqw,2,3,1
yhrp,1,2,1
keeu,2,3,1
yhsu,2,3,1
keee,7,7,2
owlu,4,5,1
fowy,13,12,2
yedwnaan,1,2,1
hznj,1,2,1
vxqm,1,2,1
fovn,3,4,1
axxy,5,4,2
qjsibenx,1,2,1
axxc,3,2,3
yhny,1,2,1
kebl,9,4,5
ajgya,4,4,2
soriehxs,1,2,1
owid,1,2,1
tnxk,2,3,1
axpy,1,2,1
hzyn,2,3,1
qfjsa,4,4,2
yhjf,5,5,2
nuflargk,2,3,1
fopu,2,3,1
fopr,1,2,1
owej,2,3,1
rclk,1,2,1
hzxd,1,2,1
ipcea,1,2,1
owcn,10,11,1
uljsa,2,3,1
lzgyb,3,4,1
oodmmtel,1,2,1
yhfp,1,2,1
awufa,3,4,1
axpr,1,2,1
hvsrmwuq,1,2,1
bybzlcxm,1,2,1
hrvg,74,26,6
fqae,1,2,1
rizvatwt,7,6,2
yeqz,3,3,2
jjdfa,2,3,1
vvej,6,5,2
mjif,1,2,1
fqcr,1,2,1
mkonb,3,3,2
xybya,1,2,1
rawj,1,2,1
rawi,1,2,1
vvdv,4,3,2
zknvvong,5,6,1
fqey,5,6,1
svgqafvw,2,3,1
tspf,2,3,1
ulica,3,3,2
yeuo,1,2,1
cruegkft,2,3,1
avezxabp,1,2,1
tsro,2,2,2
fqfk,1,2,1
gjayrsbv,6,6,2
hrzr,2,3,1
glrvmgmn,1,2,1
muzya,2,3,1
hrmw,1,2,1
xiega,3,4,1
ebrra,2,3,1
cqzwoxdw,12,10,2
kgyu,1,2,1
rnvla,1,2,1
tsvb,1,2,1
kgyo,1,2,1
hbdfb,3,3,2
hrnm,1,2,1
tsxw,1,2,1
lmivb,1,2,1
hrqk,1,2,1
rark,3,4,1
mjae,1,2,1
rnvid,2,3,1
mjaf,3,4,1
utysymyj,1,2,1
tszh,1,2,1
vvag,143,12,20
mckga,2,3,1
jvqlxrzs,3,4,1
mivr,1,2,1
vusc,1,2,1
hsir,1,2,1
xawtqwlx,2,3,1
zgdcaked,3,3,2
vuud,3,4,1
khdc,7,8,1
trxnxuty,31,29,2
xznlggkh,1,2,1
wlhsa,1,2,1
vuup,1,2,1
mixi,9,5,3
ttay,19,12,3
fpsv,2,3,1
ajkdb,4,5,1
erysb,1,2,1
gvmua,1,2,1
pheea,1,2,1
ttbc,1,2,1
hslq,12,9,3
cmyykqvw,4,4,2
khgc,3,4,1
vuhz,3,4,1
mikt,3,4,1
milr,3,4,1
yehf,1,2,1
mimz,1,2,1
ytbda,3,4,1
huehiyah,10,10,2
fpzd,6,7,1
vumj,1,2,1
fpzv,1,2,1
vumd,1,2,1
hsbu,1,2,1
vult,2,3,1
ttis,8,6,3
ruygafoz,2,3,1
ctbx,1,2,1
vunp,1,2,1
khnm,1,2,1
ctdb,1,2,1
semhtksj,8,9,1
fltfhiri,1,2,1
vwgm,1,2,1
fsjxjzqx,1,2,1
frdu,19,18,2
kfmy,12,11,2
npqga,6,6,2
zmopa,1,2,1
ijwuaokt,37,11,7
midz,24,25,1
vwei,2,3,1
ttnh,2,3,1
neooa,1,2,1
ttlu,1,2,1
rjsfa,2,3,1
mevtb,4,5,1
miix,3,4,1
cvbd,2,3,1
apqga,1,2,1
frfv,1,2,1
htkvzmsk,2,3,1
hsrd,1,2,1
vxfixyas,6,4,3
yfzw,12,10,4
frks,15,7,5
cxwjqvmo,93,77,3
ttue,1,2,1
mknxa,6,4,3
pexua,6,5,2
ygcs,2,3,1
vexrxpjs,33,28,2
vwbf,1,2,1
vwbn,45,25,12
froi,1,2,1
ttze,2,3,1
htygulwz,5,6,1
kfxh,2,3,1
ttxy,1,2,1
wnnib,4,4,2
htjz,1,2,1
vvty,1,2,1
htjn,1,2,1
extfapqr,7,7,2
vvvb,1,2,1
mhup,1,2,1
faax,3,4,1
azqz,1,2,1
azsi,2,3,1
eyrcweax,4,5,1
fadz,2,3,1
wisxbhzh,4,5,1
vvye,3,3,2
bcxbvyip,4,5,1
nvgeqtiq,1,2,1
ezcpa,1,2,1
yfhe,1,2,1
fafc,2,3,1
ralx,1,2,1
htlo,1,2,1
rain,4,4,2
tuck,2,3,1
qhnmb,1,2,1
htmh,44,7,21
vvmf,6,7,1
fzftvnvd,4,4,2
lkqvmehr,1,2,1
azyp,1,2,1
kghj,2,3,1
tmfcwebp,2,3,1
oytha,2,2,2
htcg,2,2,2
bgnpirfb,2,3,1
rjrqa,2,3,1
gzusa,5,6,1
jlqja,2,3,1
fakx,1,2,1
tugy,2,3,1
mhkl,1,2,1
racq,1,2,1
htfc,2,2,2
htfn,2,2,2
utoqb,1,2,1
gwwzawbp,1,2,1
mhqk,5,6,1
vvoh,3,3,2
htdk,3,4,1
htdq,4,5,1
vvnz,1,2,1
htdv,1,2,1
htec,1,2,1
kgkn,3,3,2
tukr,1,2,1
eecoa,2,3,1
vmpzwxyu,2,3,1
pavsa,2,3,1
faxs,1,2,1
ycqj,2,3,1
vtbg,1,2,1
tqnl,2,3,1
tqnd,8,4,5
kiyk,2,3,1
cwbh,10,5,5
pigpjmjz,6,6,2
kixe,22,17,2
mljk,2,3,1
tqhg,4,3,2
mlkc,10,11,1
tqgs,1,2,1
kiqw,6,7,1
mlio,2,3,1
fasn,3,4,1
ycmp,7,5,3
labyrgnt,2,3,1
opnblvih,2,2,2
tqhs,1,2,1
fbaw,1,2,1
cvzr,5,6,1
fsqr,1,2,1
whcnb,2,2,2
vszq,1,2,1
idfda,3,3,2
cvyt,2,2,2
yczc,2,3,1
fiozywld,1,2,1
nkzea,2,3,1
jlgsnxin,15,12,2
tqud,1,2,1
cvwt,1,2,1
htre,2,3,1
fovma,1,2,1
mlbi,15,15,2
mleb,1,2,1
bhlfnssn,5,6,1
vswb,1,2,1
wlfqa,1,2,1
frvj,1,2,1
xjjhbffe,1,2,1
kzlda,2,3,1
frww,6,7,1
frws,2,3,1
gjmza,4,4,2
cvrz,2,3,1
rvmqmdgx,2,3,1
cvof,1,2,1
lkfkbaxy,1,2,1
ypnyygjm,5,5,2
kjjg,3,2,3
ycbq,1,2,1
huqz,5,6,1
fbdh,6,7,1
vsmo,2,3,1
tqwr,1,2,1
fbdv,18,6,9
ysqxzsap,2,3,1
cvmm,1,2,1
wlmwkltw,22,13,6
anpvd,1,2,1
frsd,2,3,1
mkxj,1,2,1
fbei,1,2,1
kjdj,3,4,1
kjee,1,2,1
frtd,2,3,1
gjmyb,5,5,2
huln,1,2,1
tqyv,8,8,2
slusa,1,2,1
kjfr,2,3,1
fruv,1,2,1
humr,1,2,1
fbqp,1,2,1
trdf,1,2,1
livza,1,2,1
mksu,1,2,1
ghixnshp,2,3,1
cvjp,1,2,1
nkwfkown,1,2,1
ifzpgisn,2,2,2
fsbg,1,2,1
gufircsn,1,2,1
fbnt,3,3,2
fbns,1,2,1
fsco,1,2,1
algtgfzy,1,2,1
qgiolgps,4,4,2
hubl,3,4,1
vsdz,1,2,1
vsee,1,2,1
hubd,1,2,1
trao,1,2,1
kiyoeoll,3,3,2
mkpu,9,6,2
vsfj,2,3,1
kwmua,4,4,2
bgsdgwex,1,2,1
cvby,1,2,1
hwowcbhq,4,5,1
dklea,1,2,1
fqdvlqwl,2,3,1
khwf,1,2,1
cpqyackw,1,2,1
sszma,1,2,1
lunza,4,4,2
tzcoa,1,2,1
fbyb,1,2,1
fbyq,1,2,1
ydst,3,4,1
fwvtntbw,2,3,1
jsqba,2,3,1
trkr,1,2,1
trkj,3,4,1
mkik,1,2,1
vube,2,3,1
vuaz,12,5,8
vuav,2,3,1
eggec,1,2,1
ftfn,5,5,2
trwz,2,3,1
mkfx,9,10,1
lmftillb,1,2,1
ctsigkri,14,14,2
eedxa,3,4,1
panekkry,1,2,1
usuiqgdi,1,2,1
lwhzrsvk,3,3,2
trwr,1,2,1
bmxsdgdr,8,8,2
lwywa,2,3,1
ftsr,1,2,1
ftrx,2,3,1
huvl,3,3,2
wdyssoth,3,4,1
ydyb,1,2,1
aaoweirj,4,5,1
khzx,3,4,1
ftpl,2,3,1
hutt,2,3,1
jqcybimd,2,3,1
ydvr,1,2,1
oyuya,4,4,2
trrj,1,2,1
ekyea,1,2,1
vtwo,6,3,5
khxd,2,3,1
cwqb,1,2,1
vttv,2,3,1
ujdja,1,2,1
oyvya,2,2,2
waxsdwvy,1,2,1
ydcn,4,5,1
uagshylg,2,3,1
cwsf,3,4,1
vtst,2,3,1
ydcf,4,5,1
gvpya,3,3,2
kifs,2,2,2
aeaoa,1,2,1
kich,1,2,1
fsvo,4,3,3
vtpz,5,6,1
puwvhqbe,5,5,2
wujieuvf,5,6,1
qemniqgc,6,6,2
cwnj,1,2,1
fsto,1,2,1
dfwca,1,2,1
tryz,1,2,1
anczylnr,2,2,2
vtnp,2,3,1
fsup,1,2,1
fcgj,11,10,2
kipg,3,3,2
mjtb,2,3,1
vtmi,2,2,2
fruergdw,1,2,1
cwjs,5,6,1
ygjshimh,2,3,1
eeorzcap,2,3,1
vtlh,1,2,1
uznja,2,3,1
awzcftns,1,2,1
mjoz,1,2,1
vhiwacxm,2,3,1
qhgbrtnr,4,4,2
vtiw,1,2,1
fcng,12,8,3
fcmy,2,3,1
uqzzfnue,1,2,1
xrcvdgak,3,4,1
ydhp,4,5,1
vtfp,8,8,2
mcnea,1,2,1
zixreztn,1,2,1
vtgv,1,2,1
mjom,2,3,1
morsb,1,2,1
cwgz,3,4,1
kijx,3,4,1
lpmu,10,11,1
uwudfsju,8,4,4
twcy,2,3,1
hmbh,1,2,1
sslskjyi,16,11,3
bqysvcbv,1,2,1
wbkq,2,3,1
twed,1,2,1
hmex,9,6,4
nopza,1,2,1
pejda,1,2,1
nztp,6,4,2
wbjd,1,2,1
wbjk,2,3,1
drht,2,2,2
ospoaeqs,8,8,2
pqxk,2,3,1
pqxe,2,3,1
vcwtqtwp,1,2,1
hmfc,1,2,1
bphv,2,3,1
pysbnguo,5,6,1
nzyq,4,5,1
rdjiykwe,3,4,1
pqzq,10,10,2
wbop,9,9,2
mzpmfzqo,1,2,1
cpatwbex,3,4,1
wbny,1,2,1
nzxt,4,4,2
kzuka,3,4,1
jxbw,1,2,1
twlc,4,5,1
pqzz,1,2,1
twjv,1,2,1
tqezfoer,3,4,1
glturmnr,1,2,1
drqt,1,2,1
twmr,10,5,4
zvbwdfql,1,2,1
wbcw,3,3,2
lpwy,6,6,2
nzlt,1,2,1
twlu,1,2,1
xzema,1,2,1
drpc,4,5,1
klqwa,5,3,4
vvygavrp,1,2,1
qpoga,3,4,1
nzoq,10,5,3
twnm,1,2,1
hmnr,1,2,1
hmnw,1,2,1
nznj,5,6,1
avsowuru,8,9,1
hmqz,1,2,1
twrn,3,4,1
wbgv,3,4,1
zllzotbe,1,2,1
ncoyraoe,1,2,1
wbxv,1,2,1
anueotkh,2,3,1
dqyx,1,2,1
pogybvaf,1,2,1
wbyv,1,2,1
albuziez,2,3,1
hmud,2,3,1
zyzja,9,6,3
tvty,1,2,1
priw,6,4,2
tetpmvyl,5,5,2
tvwd,4,3,2
bpwd,1,2,1
bpxh,1,2,1
hygja,2,3,1
ccxkqeym,2,3,1
tvyd,1,2,1
drau,2,3,1
wsmvongw,2,3,1
hgxqfmsc,11,8,3
gccrb,40,28,5
gzhkqwwj,1,2,1
wbpca,45,11,14
bppo,1,2,1
dniujbnr,2,2,2
prqv,1,2,1
aoxpygyx,1,2,1
lpin,1,2,1
ehyhb,1,2,1
gprya,1,2,1
dreu,1,2,1
ookha,1,2,1
jwjl,3,4,1
oalga,12,6,4
wahl,1,2,1
pmowa,1,2,1
dqfk,3,3,2
tvau,2,3,1
wage,1,2,1
qgfma,5,6,1
boeg,5,4,2
jwnw,3,3,2
jwlh,1,2,1
dqls,2,3,1
premc,7,5,4
aingb,1,2,1
waan,1,2,1
ghbiffbh,9,9,2
wllmurvh,1,2,1
barqa,1,2,1
bnzr,4,4,2
browzzgw,2,3,1
aaisa,11,12,1
blirvdkz,11,10,2
vegxa,15,13,2
axmxcgxn,1,2,1
jwdj,28,13,7
psbo,1,2,1
wabu,2,3,1
ihslb,2,3,1
hlsi,2,3,1
turj,1,2,1
lqar,2,3,1
borm,1,2,1
hlqf,9,7,2
nbreb,2,3,1
wawr,3,3,2
xrrbmrbp,2,2,2
obutyncj,1,2,1
psln,2,2,2
tuve,1,2,1
lqbk,7,7,2
goopb,1,2,1
eblsb,2,3,1
lqbz,2,3,1
sbmgb,1,2,1
hlur,2,3,1
bowr,8,9,1
bojp,1,2,1
lqfp,6,7,1
waof,1,2,1
tuxq,3,4,1
axuca,1,2,1
jkelqqog,12,11,2
kckzineo,3,4,1
bolw,2,3,1
sbytmgpz,2,2,2
wauu,3,4,1
urccsrem,2,3,1
psvc,27,25,2
bonx,4,4,2
mhpztygt,6,7,1
effgvltj,2,3,1
bnee,1,2,1
bneb,1,2,1
izjirjff,8,7,3
wdqz,1,2,1
jvjr,1,2,1
kdjra,1,2,1
nxrl,3,4,1
jhera,1,2,1
nilrjzhl,7,5,2
axolsujt,2,3,1
slwgwtwy,2,2,2
hkeb,1,2,1
cmeeifdr,1,2,1
jnojc,2,3,1
yaxv,1,2,1
swida,1,2,1
wdmz,4,3,3
jvgd,2,2,2
yayu,5,6,1
ixkwa,1,2,1
psws,5,6,1
qgcha,1,2,1
tbkhqhkx,1,2,1
tyhc,3,4,1
lnji,1,2,1
lnjm,2,3,1
ybfm,4,4,2
jvcs,2,3,1
pteh,2,3,1
nxji,2,2,2
rugtsvdh,2,3,1
wdhg,4,3,3
jvej,1,2,1
efrga,1,2,1
ptgr,5,6,1
lnxu,2,3,1
bmzc,5,6,1
evqtzlhd,1,2,1
nxgk,2,3,1
ybbx,15,12,3
tyow,1,2,1
rqkmrgkx,1,2,1
bmvn,12,11,2
wgfba,1,2,1
ybdw,28,4,25
jvab,1,2,1
xngza,1,2,1
ydcjabgn,2,3,1
ybev,2,3,1
lnrt,1,2,1
ybox,1,2,1
ybnr,2,3,1
hkkcsrfq,3,4,1
wech,2,3,1
bnrx,4,5,1
ybqy,1,2,1
pxgbwgwy,1,2,1
ybqg,3,2,3
hkuw,14,8,3
bavba,1,2,1
suela,2,3,1
txuo,1,2,1
wfwujpwu,12,13,1
grsea,2,3,1
haupa,1,2,1
hkqb,1,2,1
hkqf,3,2,3
ptkn,3,4,1
ifoirfif,1,2,1
txxf,1,2,1
rovfa,2,3,1
rffba,1,2,1
tybe,6,6,2
wdyn,1,2,1
yxdjjduh,3,4,1
bnju,14,11,2
jurz,1,2,1
jusr,5,6,1
bnkd,1,2,1
apvyeanf,17,14,3
iecjzyky,6,7,1
snfnjqxv,2,2,2
julk,6,4,3
julr,22,5,12
hvqnknvo,1,2,1
adeyctqb,2,3,1
hkyd,1,2,1
nxyj,1,2,1
nxye,1,2,1
wdwz,1,2,1
tyan,1,2,1
hkzc,1,2,1
bngf,3,4,1
tyab,1,2,1
jukr,3,4,1
bmag,1,2,1
txkm,2,3,1
ujjyyawz,1,2,1
jukg,1,2,1
nuklrbhz,8,8,2
loqt,4,5,1
vzftfots,3,4,1
kplca,1,2,1
yejymcfk,2,3,1
murfcrvk,2,3,1
juiq,6,4,4
toejc,2,3,1
nyuc,2,2,2
nyud,20,4,17
aagya,2,3,1
zvvgnurg,1,2,1
akwba,2,3,1
nyrr,1,2,1
twpmb,4,5,1
nyqo,1,2,1
hqfmobqx,1,2,1
jucg,1,2,1
yutuofns,1,2,1
jucv,9,9,2
lcnmysfd,3,3,2
loyc,3,4,1
vktqypxk,3,4,1
eirjrkii,3,4,1
vxcsa,1,2,1
wcex,3,3,2
hjgg,3,3,2
hjhe,4,5,1
losv,6,6,2
auglzdhl,3,3,2
zmjeujce,1,2,1
brlmzmku,9,6,4
lorq,1,2,1
jtzu,1,2,1
jtzq,8,7,2
upaxigwb,3,4,1
nyhq,1,2,1
losn,3,4,1
bxowa,1,2,1
hjse,1,2,1
yaoq,2,3,1
hjrp,2,3,1
uhqqb,1,2,1
puqh,5,4,2
xdejvort,5,6,1
axvwa,2,3,1
loap,1,2,1
mnqea,9,9,2
aglhrzcy,3,4,1
bmqk,16,14,2
ehuxa,4,4,2
jnoza,5,6,1
twzv,4,5,1
onijrhiv,1,2,1
tevclzun,2,3,1
nzfm,21,20,2
bmro,4,5,1
dnvy,1,2,1
nzgw,57,28,10
escma,13,14,1
jtwy,1,2,1
ohiuktbq,2,3,1
bmmy,2,3,1
yajh,1,2,1
bmml,3,3,2
hdfda,1,2,1
twvh,1,2,1
bmnv,2,3,1
wczo,2,2,2
hjlx,5,6,1
bmnm,1,2,1
gomha,12,13,1
yaht,1,2,1
qdsticvx,5,6,1
vlnra,1,2,1
jtpv,1,2,1
ihuda,1,2,1
loip,1,2,1
kmjnqxib,1,2,1
wczg,3,4,1
jtqy,1,2,1
jtnd,2,3,1
bmkz,7,5,3
diqca,2,3,1
zejcsvti,1,2,1
bmdd,1,2,1
bykmlkeu,2,3,1
lodi,1,2,1
jtlc,4,5,1
otcwa,1,2,1
bmdv,15,14,2
qkgma,54,52,2
jtlz,2,3,1
bmdk,7,8,1
wctm,2,3,1
loen,1,2,1
puvm,2,3,1
otduozro,3,4,1
hjum,1,2,1
aplhb,1,2,1
nyzg,1,2,1
rxjm,17,4,12
nrdhndao,12,12,2
hqrs,4,4,2
dxdifrak,2,3,1
bkso,1,2,1
nvcj,3,4,1
rxkx,2,3,1
rxme,11,12,1
bxixa,6,7,1
hqvc,1,2,1
xzwi,2,3,1
hquu,1,2,1
pvib,3,4,1
pvij,1,2,1
bkxg,1,2,1
xzyc,1,2,1
lucr,1,2,1
nvgh,1,2,1
hqyo,1,2,1
ludc,2,3,1
hqxs,2,3,1
drxca,2,3,1
lxeva,6,3,4
eikenrye,1,2,1
fimra,5,6,1
hqyv,1,2,1
bkzw,1,2,1
hqjf,2,3,1
dvrn,2,3,1
tyzra,6,5,2
jtbu,1,2,1
nvjs,21,6,14
rxrr,1,2,1
nvjt,4,3,2
rxsy,2,3,1
dvpr,57,32,14
rxtp,1,2,1
rxtq,1,2,1
ltwe,1,2,1
ahicpjfz,2,3,1
pbychgeq,27,26,2
rxvp,6,7,1
rxvy,6,7,1
mjzzqzut,2,3,1
cccvrlvq,6,3,4
dvws,1,2,1
pvav,1,2,1
rxxl,2,3,1
wghsa,6,7,1
xzqf,2,2,2
hqpi,4,4,2
xzsw,1,2,1
pvcq,2,3,1
xzsn,2,3,1
onzeolsl,2,2,2
dktga,9,5,3
aibiects,1,2,1
rlcemvic,12,12,2
vcjya,5,6,1
aagca,2,3,1
odqzahnl,1,2,1
akssa,1,2,1
pslka,1,2,1
blbe,1,2,1
dvow,8,7,2
tlcojkue,1,2,1
ltqn,1,2,1
zxefwovb,1,2,1
giiigltl,5,6,1
hrhq,4,5,1
pvyq,1,2,1
cjcwa,2,3,1
ovfra,9,10,1
dvls,5,6,1
sfxwa,1,2,1
pvzw,2,3,1
fvsjnter,1,2,1
lpzewvhv,7,7,2
qfawjhdy,2,3,1
pvmx,6,7,1
blmo,1,2,1
ltde,1,2,1
bllo,1,2,1
jsqb,7,8,1
xzila,1,2,1
blkx,5,6,1
qjzvjlbq,1,2,1
blkq,2,3,1
jstj,1,2,1
ltgt,1,2,1
cxujrnfc,1,2,1
aksja,36,8,16
rxdq,1,2,1
bljz,2,3,1
glmwlhpc,4,4,2
uqxca,1,2,1
jsvl,3,4,1
jevcroeg,2,3,1
lthw,1,2,1
jswu,7,7,2
aeznb,26,22,2
rxjc,6,5,2
jxtna,9,7,3
dvep,1,2,1
vennhvnt,3,3,2
tgboa,1,2,1
jsvo,10,8,2
qynyuqqu,1,2,1
hpsd,2,3,1
nwfo,2,3,1
xyuz,5,5,2
atmmdilb,1,2,1
pwin,1,2,1
tztj,11,12,1
bjog,32,7,7
nwcz,1,2,1
wzoffple,4,4,2
pwgr,1,2,1
ryry,3,4,1
xyzf,1,2,1
lvfq,3,4,1
hpwh,14,10,4
airjb,1,2,1
rysp,1,2,1
bvgka,1,2,1
pwjj,1,2,1
ivezvhju,6,7,1
hpup,1,2,1
pwlc,1,2,1
hpjg,6,6,2
txbqennr,4,5,1
blqgnskx,13,9,3
xymh,1,2,1
rywq,1,2,1
dnyqgynw,1,2,1
bjxb,2,3,1
pwab,1,2,1
xylk,1,2,1
luvr,4,3,2
luvo,1,2,1
hphe,30,25,4
xpnsa,1,2,1
jsat,1,2,1
airzb,1,2,1
ryuz,1,2,1
xyji,1,2,1
xypu,1,2,1
hplf,22,18,2
duti,1,2,1
ylpwlmvo,10,9,2
vkkxykgk,1,2,1
tzmv,1,2,1
xzfn,1,2,1
tzco,3,3,2
pwxr,1,2,1
luqg,3,4,1
xzgj,2,3,1
tzbz,1,2,1
xzhb,2,3,1
nbnfb,3,4,1
zblla,4,5,1
epzoa,1,2,1
duhf,2,3,1
hqbd,12,8,3
xzet,1,2,1
luvg,4,5,1
rycc,1,2,1
ptzlzfsh,2,3,1
wzowa,1,2,1
jrmp,3,3,2
tzgz,4,3,2
jrly,6,5,2
mqcwqfwm,1,2,1
ryaz,1,2,1
jjxwdyjy,1,2,1
tzfz,1,2,1
wdnrltqs,1,2,1
dulq,1,2,1
qcxikgth,1,2,1
tzdg,1,2,1
jrjb,6,7,1
xzjf,3,4,1
rygc,3,4,1
cempb,1,2,1
pwpq,3,4,1
bkkq,2,3,1
fsasxwde,22,16,3
hpzl,1,2,1
ovgfa,1,2,1
lumq,28,7,7
xzbv,2,3,1
rykx,1,2,1
miwpb,1,2,1
fomza,2,3,1
xzbg,15,14,2
marnjljo,1,2,1
pwty,2,2,2
pwts,5,6,1
ryix,1,2,1
atyjbykf,30,21,4
lujh,13,6,3
xzag,1,2,1
bkoe,1,2,1
rldnhnwk,3,2,3
xcfwdbjc,6,5,2
zlyvssot,1,2,1
tktyztqf,57,52,2
nmvna,1,2,1
rzuq,2,3,1
lryo,10,11,1
jquj,2,3,1
rzqc,1,2,1
lrzu,17,7,8
lrzx,2,3,1
sdvua,6,6,2
bxkrddsb,1,2,1
jqwn,1,2,1
