rootScript, transitiveSuccessors, treeDepth, treeWidth
vkyyubbi,11,10,2
agyl,2,3,1
emhp,2,3,1
mxqbgvuq,7,8,1
agxm,3,3,2
ofmz,1,2,1
vgsq,2,2,2
iltp,8,8,2
kvis,1,2,1
ofnk,2,3,1
teevdrmr,1,2,1
emjv,1,2,1
byopqfru,1,2,1
ofmo,2,3,1
emiy,2,3,1
cjrj,1,2,1
ifzsjsbn,6,6,2
yyjc,1,2,1
wqaergmi,4,5,1
aglo,41,40,2
gapv,1,2,1
ilyq,1,2,1
cjuc,1,2,1
gapm,3,3,2
nacm,5,5,2
agnn,2,2,2
qrikwech,2,3,1
vgvg,7,8,1
qqgy,1,2,1
xyyub,1,2,1
cjuo,1,2,1
ganh,6,6,2
ofgi,4,4,2
kvbc,2,3,1
nwbebmqp,25,19,2
iwsca,1,2,1
emaz,22,19,2
lxxosjek,6,7,1
naex,2,2,2
gasi,1,2,1
nafi,1,2,1
yymh,1,2,1
gmhnmogi,8,8,2
naec,1,2,1
agrc,1,2,1
ekrf,10,6,3
aiiu,4,3,3
iwuea,1,2,1
nbkc,22,12,3
ogzx,2,2,2
gjava,1,2,1
kvts,8,9,1
ekoi,7,5,3
gttcwkvb,1,2,1
erkja,2,3,1
aihq,7,8,1
nbnn,3,4,1
kvvx,1,2,1
aihl,1,2,1
ekpm,2,3,1
yhvrubus,1,2,1
ekpx,2,3,1
aimo,1,2,1
aimm,2,3,1
aimt,1,2,1
gtovurqn,4,5,1
yiwlcjig,2,3,1
ssvoxnxq,3,4,1
kvyv,1,2,1
aikl,1,2,1
ailv,2,3,1
ikbx,1,2,1
ailf,2,3,1
vgdc,1,2,1
ipsijxhn,1,2,1
cjep,8,3,5
tboeootr,1,2,1
qxmbjnls,1,2,1
awdua,1,2,1
ypjfmjmh,2,3,1
ikdl,3,3,2
kvle,2,2,2
nbtr,2,3,1
yvwsb,3,3,2
ikef,4,5,1
kvmi,2,2,2
vggu,2,2,2
cjcr,8,3,5
afvoa,2,3,1
ogui,1,2,1
cjij,1,2,1
zsxub,1,2,1
cjid,1,2,1
nbwt,40,7,25
ogws,10,10,2
ogww,1,2,1
ogxq,1,2,1
ikil,2,3,1
ikjb,1,2,1
nbzq,1,2,1
elffa,1,2,1
kwfr,2,3,1
ahxv,3,2,3
phtfa,2,3,1
ikls,1,2,1
qjnma,2,3,1
oglu,5,6,1
ogme,1,2,1
pluma,2,2,2
ogle,11,7,3
ysvkhpqq,3,4,1
daara,1,2,1
elgz,19,12,3
miboa,3,4,1
yxsx,1,2,1
ikrx,1,2,1
ikrd,1,2,1
xeeua,6,7,1
kprbqzdl,2,3,1
ahyr,2,2,2
ahyy,2,3,1
ahyz,1,2,1
awdva,35,35,2
bdmha,3,4,1
ogcf,1,2,1
nbcy,1,2,1
ahpv,4,4,2
mzaohqjg,3,4,1
vfte,1,2,1
qrjl,5,4,2
ogbi,1,2,1
xnegtvnu,2,3,1
yxhb,3,4,1
tyrtnvfe,10,11,1
nbfh,1,2,1
kgtowzwg,9,10,1
uvxpvubq,1,2,1
ahto,2,2,2
ahty,7,7,2
qrns,11,12,1
qrnm,1,2,1
asqcadxo,5,6,1
kpyowwiz,1,2,1
infga,2,2,2
whcfrmgg,2,3,1
ahsk,1,2,1
lyjpgwzg,2,3,1
ikrfjabh,1,2,1
vfzh,1,2,1
ense,8,7,2
tcrq,3,4,1
mzlt,1,2,1
